1000
257778
1,2,558
2,3,323
3,4,537
4,5,471
5,6,64
6,7,230
7,8,825
8,9,468
9,10,887
10,11,346
11,12,70
12,13,888
13,14,507
14,15,349
15,16,308
16,17,93
17,18,995
18,19,185
19,20,209
20,21,437
21,22,15
22,23,553
23,24,354
24,25,775
25,26,658
26,27,874
27,28,776
28,29,499
29,30,730
30,31,783
31,32,91
32,33,289
33,34,396
34,35,988
35,36,233
36,37,706
37,38,577
38,39,556
39,40,962
40,41,626
41,42,343
42,43,902
43,44,947
44,45,614
45,46,565
46,47,418
47,48,422
48,49,952
49,50,96
50,51,130
51,52,170
52,53,729
53,54,323
54,55,363
55,56,204
56,57,382
57,58,806
58,59,627
59,60,650
60,61,627
61,62,285
62,63,740
63,64,24
64,65,859
65,66,131
66,67,822
67,68,553
68,69,162
69,70,708
70,71,507
71,72,555
72,73,754
73,74,316
74,75,308
75,76,391
76,77,129
77,78,815
78,79,489
79,80,219
80,81,140
81,82,598
82,83,230
83,84,182
84,85,172
85,86,931
86,87,1
87,88,64
88,89,607
89,90,793
90,91,847
91,92,139
92,93,698
93,94,154
94,95,654
95,96,842
96,97,682
97,98,598
98,99,517
99,100,653
100,101,346
101,102,85
102,103,24
103,104,174
104,105,638
105,106,202
106,107,992
107,108,75
108,109,94
109,110,517
110,111,279
111,112,128
112,113,646
113,114,755
114,115,993
115,116,968
116,117,498
117,118,235
118,119,670
119,120,256
120,121,823
121,122,207
122,123,876
123,124,880
124,125,957
125,126,77
126,127,465
127,128,527
128,129,480
129,130,914
130,131,318
131,132,106
132,133,646
133,134,178
134,135,207
135,136,800
136,137,235
137,138,310
138,139,78
139,140,645
140,141,103
141,142,594
142,143,1000
143,144,425
144,145,905
145,146,489
146,147,175
147,148,189
148,149,742
149,150,496
150,151,999
151,152,577
152,153,682
153,154,869
154,155,316
155,156,460
156,157,830
157,158,370
158,159,232
159,160,193
160,161,482
161,162,665
162,163,235
163,164,3
164,165,226
165,166,765
166,167,611
167,168,485
168,169,500
169,170,962
170,171,131
171,172,841
172,173,578
173,174,115
174,175,207
175,176,250
176,177,267
177,178,702
178,179,253
179,180,495
180,181,908
181,182,270
182,183,295
183,184,263
184,185,243
185,186,621
186,187,549
187,188,676
188,189,372
189,190,828
190,191,144
191,192,38
192,193,260
193,194,312
194,195,953
195,196,133
196,197,211
197,198,427
198,199,792
199,200,553
200,201,695
201,202,260
202,203,761
203,204,145
204,205,139
205,206,307
206,207,240
207,208,535
208,209,678
209,210,973
210,211,157
211,212,981
212,213,832
213,214,233
214,215,539
215,216,278
216,217,151
217,218,45
218,219,650
219,220,91
220,221,744
221,222,600
222,223,492
223,224,896
224,225,74
225,226,252
226,227,189
227,228,682
228,229,500
229,230,351
230,231,499
231,232,552
232,233,518
233,234,263
234,235,389
235,236,19
236,237,900
237,238,103
238,239,840
239,240,164
240,241,367
241,242,803
242,243,788
243,244,896
244,245,814
245,246,476
246,247,654
247,248,578
248,249,723
249,250,448
250,251,855
251,252,37
252,253,192
253,254,161
254,255,497
255,256,508
256,257,471
257,258,88
258,259,993
